name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genre
Abo Mvelo (feat. Mellow & Sleazy & M.J),Abo Mvelo (feat. Mellow & Sleazy & M.J),Daliwonga,2022-03-18,480000,64,0.876,0.0172,0.876,0.507,0.00117,0.0746,-11.035,0.0482,112.003,4,"afro soul,south african pop"
Certified Loner (No Competition),Certified Loner (No Competition),Mayorkun,2022-06-17,165000,65,0.931,0.0152,0.931,0.676,0.0,0.103,-7.492,0.0498,111.948,4,"afropop,azontobeats,nigerian pop"
Legalize,Legalize,Mr Eazi,2022-06-10,146249,63,0.574,0.361,0.574,0.648,5.85e-05,0.266,-5.583,0.268,132.418,5,"afro dancehall,afropop,ghanaian hip hop,swedish dancehall"
Amagents,Amagents,Samthing Soweto,2022-06-24,223669,58,0.684,0.0297,0.684,0.489,0.00207,0.086,-10.784,0.176,93.023,4,"afro soul,amapiano,south african alternative,south african pop,south african pop dance"
Baddest Boy,Baddest Boy,Skiibii,2021-11-12,141599,59,0.876,0.605,0.876,0.388,0.176,0.11,-7.1,0.341,109.882,4,"afropop,nigerian pop"
Kwaku the Traveller,Kwaku the Traveller,Black Sherif,2022-03-30,185364,69,0.64,0.0764,0.64,0.552,0.0,0.107,-7.327,0.354,135.241,4,ghanaian pop
Big Thug Boys,Big Thug Boys,AV,2021-06-04,172690,7,0.861,0.39,0.861,0.721,0.00827,0.108,-4.473,0.133,108.105,4,nigerian pop
Sinner,Sinner,Adekunle Gold,2021-07-09,174117,62,0.507,0.745,0.507,0.548,0.0,0.198,-6.509,0.38,136.041,5,"afropop,alte,azontobeats,nigerian hip hop,nigerian pop"
Stand Strong (feat. Sunday Service Choir),Stand Strong (feat. Sunday Service Choir),Davido,2022-05-13,182791,64,0.474,0.379,0.474,0.691,1.55e-05,0.135,-5.026,0.098,94.622,4,"afropop,ghanaian hip hop,nigerian pop"
Lie,Lie,Kizz Daniel,2021-08-05,156600,61,0.495,0.511,0.495,0.633,0.00337,0.0927,-6.675,0.294,201.726,4,"afropop,azontobeats,nigerian pop"
Tanzania,Tanzania,Uncle Waffles,2022-03-16,376078,62,0.804,0.0552,0.804,0.654,0.00487,0.109,-10.125,0.0537,112.988,4,amapiano
Bloody Samaritan,19 & Dangerous,Ayra Starr,2021-08-06,187000,67,0.796,0.036,0.796,0.719,0.0,0.0718,-7.018,0.138,105.027,4,nigerian pop
Bounce,Bounce,Lexsil,2021-12-03,201247,65,0.717,0.728,0.717,0.835,0.013,0.141,-5.911,0.179,101.25,4,kenyan pop
Jolene,Outlaw,Victony,2022-05-06,175000,60,0.67,0.36,0.67,0.683,0.0105,0.283,-6.122,0.0499,109.972,4,"azontobeats,nigerian pop"
D O D O,Fleur froide - Second état : la cristallisation,Tayc,2021-11-19,179240,59,0.678,0.304,0.678,0.646,0.000405,0.154,-7.996,0.112,98.816,4,pop urbaine
WITH YOU,WITH YOU,Khaid,2022-01-28,192475,59,0.644,0.556,0.644,0.707,0.0,0.112,-5.368,0.0701,67.322,5,nigerian pop
Champion Sound,Champion Sound,Davido,2021-11-19,237876,61,0.861,0.0325,0.861,0.475,0.322,0.0708,-11.952,0.0537,113.016,4,"afropop,ghanaian hip hop,nigerian pop"
Melody (feat. Jaywillz),First Of All,Diamond Platnumz,2022-03-11,169848,57,0.874,0.518,0.874,0.797,0.00402,0.108,-4.048,0.152,98.982,4,"azontobeats,bongo flava,tanzanian pop"
